Year,Warehouse,Division,Category Description,Style Description,Color,$ Unit Price - Outlet MSRP,$ Unit Cost - Standard,margin $,margin %,quantity
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,426,14.99,5.63,9.36,0.624416278,552
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL PRINTED BACK,061,34.99,18.75,16.24,0.464132609,4314
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL BELT,375,11.99,6.75,5.24,0.437030859,982
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,063,14.99,5.63,9.36,0.624416278,3818
2015,Austin,Mens,Accessories,HURLEY MATER BACKPACK,368,29.99,18.75,11.24,0.374791597,2103
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL BELT,010,11.99,6.75,5.24,0.437030859,589
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL BELT,432,11.99,6.75,5.24,0.437030859,2963
2015,Austin,Mens,Accessories,ICON BELT IN,BLK,24.99,12.42,12.57,0.5030012,1976
2015,Austin,Mens,Accessories,BUSINESS CARD BELT FO,BLK,19.99,4.91,15.08,0.754377189,1249
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL PRINTED TRI,061,9.99,4.5,5.49,0.54954955,1768
2015,Austin,Mens,Accessories,HURLEY HONOR ROLL TRI FOLD WAL,434,9.99,4.5,5.49,0.54954955,1907
2015,Austin,Womens,Accessories,TOMBOY Accessories NPSK IN,3KJ,29.99,14.21,15.78,0.526175392,2783
2015,Austin,Womens,Accessories,HURLEY ONE AND ONLY PRINTED WO,381,34.99,18.75,16.24,0.464132609,971
2015,Austin,Mens,Active Bottoms,BLCK PRTY VOLLEY ACTB DFMS IN,00A,24.99,10.29,14.7,0.588235294,5793
2015,Austin,Mens,Active Bottoms,BLCK PRTY VOLLEY ACTB DFMS IN,H00A,24.99,9.84,15.15,0.606242497,5074
2015,Austin,Mens,Active Bottoms,KINGSROAD ACTB MESH IN,MLT3,24.99,9.01,15.98,0.639455782,2155
2015,Austin,Mens,Active Bottoms,KINGSROAD ACTB MESH IN,NGRN,24.99,9.01,15.98,0.639455782,6466
2015,Austin,Mens,Active Bottoms,BLOCKPARTY 22 ACTB MESH IN,00A,29.99,10.81,19.18,0.639546516,4368
2015,Austin,Mens,Active Bottoms,BLOCKPARTY 22 ACTB MESH IN,47N,29.99,10.81,19.18,0.639546516,3770
2015,Austin,Mens,Active Bottoms,FORCE ACTB MESH IN,00A,29.99,10.68,19.31,0.643881294,2758
2015,Austin,Mens,Active Bottoms,FORCE ACTB MESH IN,CAMO,29.99,10.68,19.31,0.643881294,3740
2015,Austin,Mens,Active Bottoms,BP DESTROY MESH ACTB IN,71R,29.99,10.42,19.57,0.65255085,3416
2015,Austin,Mens,Active Bottoms,BLCK PRTY VOLLEY ACTB DFMS IN,40L,29.99,10.29,19.7,0.656885629,2648
2015,Austin,Mens,Active Bottoms,LAKE STRT VOLLEY ACTB IN,03B,29.99,10.1,19.89,0.663221074,3381
2015,Austin,Mens,Active Bottoms,LAKE STRT VOLLEY ACTB IN,4KT,29.99,10.1,19.89,0.663221074,3885
2015,Austin,Mens,Active Bottoms,MAIN KNITS DFVL IN,00A,29.99,9.66,20.33,0.677892631,3774
2015,Austin,Mens,Active Bottoms,MAIN KNITS DFVL IN,46V,29.99,9.66,20.33,0.677892631,1736
2015,Austin,Womens,Active Bottoms,DRIFIT FLEECE BR FLEE IN25 IN,H3KC,24.99,8.31,16.68,0.667466987,2219
2015,Austin,Womens,Active Bottoms,MESH BR ACTB DRFT IN,57RJ,24.99,8.11,16.88,0.675470188,4344
2015,Austin,Womens,Active Bottoms,MESH BR ACTB DRFT IN,10AQ,24.99,7.22,17.77,0.711084434,2564
2015,Austin,Womens,Active Bottoms,MESH BR ACTB DRFT IN,82AQ,24.99,7.22,17.77,0.711084434,3302
2015,Austin,Womens,Active Bottoms,MESH BR ACTB DRFT IN,3KT,24.99,6.68,18.31,0.732693077,2665
2015,Austin,Womens,Active Bottoms,DF CROP LEGG ACTB DRFT IN,H06B,29.99,11.68,18.31,0.610536846,8925
2015,Austin,Womens,Active Bottoms,DF CROP LEGG ACTB DRFT IN,00AG,29.99,11.55,18.44,0.614871624,4245
2015,Austin,Womens,Active Bottoms,DF LEGG ACTB DRFT IN,3KTQ,29.99,11.55,18.44,0.614871624,2672
2015,Austin,Womens,Active Bottoms,DF CROP LEGG ACTB DRFT IN,3KTQ,29.99,10.77,19.22,0.640880293,3768
2015,Austin,Womens,Active Bottoms,DF BR RNR ACTB IN05 IN,44BT,29.99,10.45,19.54,0.651550517,1192
2015,Austin,Womens,Active Bottoms,DF MESH BR ACTB DRFT IN,00A,29.99,8.57,21.42,0.714238079,1509
2015,Austin,Womens,Active Bottoms,DRIFIT FLEECE BR FLEE IN25 IN,HWHT,29.99,8.31,21.68,0.722907636,3396
2015,Austin,Womens,Active Bottoms,DF CROP LEGG ACTB DRFT IN,32UR,34.99,11.85,23.14,0.661331809,764
2015,Austin,Womens,Active Bottoms,DF LEGG ACTB DRFT IN,00A,34.99,11.43,23.56,0.673335239,2373
2015,Austin,Womens,Active Bottoms,DF CROP LEGG ACTB DRFT IN,00A,34.99,10.73,24.26,0.693340955,7489
2015,Austin,Womens,Active Bottoms,DF CROP LEGG ACTB DRFT IN,ELP,34.99,10.38,24.61,0.703343813,6508
2015,Austin,Mens,Basic Fleece Bottom,LEGION SHORT FLEE VOLY IN,4HM,24.99,9.85,15.14,0.605842337,4174
2015,Austin,Mens,Basic Fleece Bottom,KRENZEN FLEE VOLY IN,00A,24.99,9.64,15.35,0.614245698,1729
2015,Austin,Mens,Basic Fleece Bottom,KRENZEN FLEE VOLY IN,4CA,24.99,9.64,15.35,0.614245698,1721
2015,Austin,Mens,Basic Fleece Bottom,DRIFIT LEAGUE BLEE REGF IN,00A,29.99,14.03,15.96,0.532177392,10417
2015,Austin,Mens,Basic Fleece Bottom,DRFT LEAGUE BLEE DRFT IN,00A,29.99,10.13,19.86,0.66222074,4387
2015,Austin,Mens,Basic Fleece Bottom,DRFT LEAGUE BLEE DRFT IN,07G,29.99,10.13,19.86,0.66222074,4188
2015,Austin,Mens,Boardshorts,FORCE CORE BDST SSDE IN,80S,19.99,11.42,8.57,0.428714357,902
2015,Austin,Mens,Boardshorts,PUERTO RICO BDST SSDE IN,BLK,19.99,10.33,9.66,0.483241621,203
2015,Austin,Mens,Boardshorts,ONE AND ONLY BDST SSDE IN,BLK,19.99,8.86,11.13,0.556778389,10035
2015,Austin,Mens,Boardshorts,ONE AND ONLY BDST SSDE IN,NOR,19.99,8.86,11.13,0.556778389,15770
2015,Austin,Mens,Boardshorts,ONE AND ONLY BDST SSDE IN,NYL,19.99,8.86,11.13,0.556778389,20462
2015,Austin,Mens,Boardshorts,O&O BOYS BDST SSDE IN,BLK,19.99,8.41,11.58,0.579289645,15411
2015,Austin,Mens,Boardshorts,ONE AND ONLY BDST SSDE IN,BLK,19.99,8.41,11.58,0.579289645,10617
2015,Austin,Mens,Boardshorts,ONE AND ONLY BDST SSDE IN,CYA,19.99,8.41,11.58,0.579289645,17442
2015,Austin,Mens,Boardshorts,O&O BOYS BDST,BLK,19.99,7.84,12.15,0.607803902,18794
2015,Austin,Mens,Boardshorts,SCALLOPS BDST SSDE IN,80S,24.99,11.68,13.31,0.532613045,10664
2015,Austin,Mens,Boardshorts,FORCE CORE BDST SSDE IN,4JV,24.99,11.42,13.57,0.543017207,17076
2015,Austin,Mens,Boardshorts,STRIKE BOYS BDST PHTM IN,00A,24.99,10.91,14.08,0.56342537,15990
2015,Austin,Mens,Boardshorts,STRIKE BOYS BDST PHTM IN,NOR,24.99,10.91,14.08,0.56342537,14956
2015,Austin,Mens,Boardshorts,ONE AND ONLY BDST SSDE IN,TNNY,24.99,8.41,16.58,0.663465386,16521
2015,Austin,Mens,Boardshorts,BOYS PHNTM JJF BDST IN,00A,29.99,12.51,17.48,0.582860954,17681
2015,Austin,Mens,Boardshorts,BOYS PHNTM JJF BDST IN,46V,29.99,12.51,17.48,0.582860954,17727
2015,Austin,Mens,Boardshorts,BOYS BLCKD FLT BDST IN,65N,29.99,12.38,17.61,0.587195732,10860
2015,Austin,Mens,Boardshorts,BOYS BLCKD FLT BDST IN,NGRN,29.99,12.38,17.61,0.587195732,20265
2015,Austin,Mens,Boardshorts,BOYS P30 RIPPLE BDST IN,46V,29.99,12.38,17.61,0.587195732,15874
2015,Austin,Mens,Boardshorts,PHNTM FLIGHT BDST PHTM IN,6BN,29.99,12.19,17.8,0.593531177,12048
2015,Austin,Mens,Boardshorts,SCALLOPS BDST SSDE IN,4HM,29.99,11.93,18.06,0.602200734,10012
2015,Austin,Mens,Boardshorts,SCALLOPS BDST SSDE IN,HTRD,29.99,11.93,18.06,0.602200734,18582
2015,Austin,Mens,Boardshorts,WARP3 BOYS BDST PHTM IN,BAQU,29.99,11.87,18.12,0.6042014,19597
2015,Austin,Mens,Boardshorts,LOWTIDE BOYS BDST PHTM IN,06F,29.99,11.74,18.25,0.608536179,14416
2015,Austin,Mens,Boardshorts,LOWTIDE BOYS BDST PHTM IN,43Q,29.99,11.74,18.25,0.608536179,17958
2015,Austin,Mens,Boardshorts,FORCE CORE BDST SSDE IN,00A,29.99,11.68,18.31,0.610536846,13435
2015,Austin,Mens,Boardshorts,FORCE CORE BDST SSDE IN,4JV,29.99,11.68,18.31,0.610536846,10900
2015,Austin,Mens,Boardshorts,FLIGHT CORE2 BDST SSDE IN,00A,29.99,11.68,18.31,0.610536846,13754
2015,Austin,Mens,Boardshorts,FLIGHT CORE2 BDST SSDE IN,46V,29.99,11.68,18.31,0.610536846,16601
2015,Austin,Mens,Boardshorts,FORCE CORE3 BDST SSDE IN,00A,29.99,11.68,18.31,0.610536846,13686
2015,Austin,Mens,Boardshorts,FORCE CORE3 BDST SSDE IN,4CA,29.99,11.68,18.31,0.610536846,17278
2015,Austin,Mens,Boardshorts,AXIS BDST SSDE IN,00A,29.99,11.48,18.51,0.617205735,15833
2015,Austin,Mens,Boardshorts,AXIS BDST SSDE IN,4JV,29.99,11.48,18.51,0.617205735,14936
2015,Austin,Mens,Boardshorts,RAY BDST SSDE IN,00A,29.99,11.48,18.51,0.617205735,18576
2015,Austin,Mens,Boardshorts,RAY BDST SSDE IN,31J,29.99,11.48,18.51,0.617205735,16236
2015,Austin,Mens,Boardshorts,BILLET BDST SSDE IN,00A,29.99,11.48,18.51,0.617205735,19667
