Year,Warehouse,Division,Category Description,Style Description,Color,$ Unit Price - Outlet MSRP,$ Unit Cost - Standard,margin $,margin %,quantity
2017,Tustin,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,4827
2017,Tustin,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,2466
2017,Tustin,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,2474
2017,Tustin,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,5623
2017,Tustin,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,2714
2017,Tustin,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,4299
2017,Los Angeles,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,3639
2017,Los Angeles,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,2628
2017,Los Angeles,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,5018
2017,Los Angeles,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,4.98,2.71,2.27,0.455823293,5682
2017,Los Angeles,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,3239
2017,Los Angeles,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,3630
2017,Los Angeles,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,5159
2017,San Jose,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,5231
2017,San Jose,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,5552
2017,San Jose,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,4.98,2.71,2.27,0.455823293,3594
2017,San Jose,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,4976
2017,Las Vegas,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,5139
2017,Las Vegas,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,5799
2017,Las Vegas,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,3528
2017,Las Vegas,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,4.98,2.71,2.27,0.455823293,5181
2017,Las Vegas,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,5870
2017,Las Vegas,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,3151
2017,Las Vegas,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,2101
2017,Laughlin,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,3497
2017,Laughlin,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,4059
2017,Laughlin,Mens,Accessories,HRLY PENDLETON BLANKET IN,00A,150,132,18,0.12,4218
2017,Laughlin,Mens,Accessories,HURLEY RENEGADE DUFFLE,20,29.99,13.75,16.24,0.541513838,3868
2017,Laughlin,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,5114
2017,Laughlin,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,5343
2017,Laughlin,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,4314
2017,Laughlin,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,3672
2017,Orlando,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,3362
2017,Orlando,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,3009
2017,Orlando,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,4050
2017,Orlando,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,3886
2017,Orlando,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,4294
2017,Orlando,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,3460
2017,Oxnard,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,4328
2017,Oxnard,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,2332
2017,Oxnard,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,3777
2017,Oxnard,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,4.98,2.71,2.27,0.455823293,2265
2017,Oxnard,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,2518
2017,Oxnard,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,3415
2017,Oxnard,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,5956
2017,Jacksonville,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,2342
2017,Jacksonville,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,5846
2017,Jacksonville,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,4806
2017,Jacksonville,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,2726
2017,Jacksonville,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,3849
2017,Miami,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,4608
2017,Miami,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,4099
2017,Miami,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2767
2017,Miami,Mens,Accessories,HURLEY PATROL BELT,20,14.99,9,5.99,0.399599733,5838
2017,Miami,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,4688
2017,Miami,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,2500
2017,Miami,Mens,Accessories,ONE AND ONLY LOW BLK SOCK SM,BLK,9.99,4.99,5,0.500500501,5241
2017,Houston,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,3518
2017,Houston,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,4471
2017,Houston,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,4952
2017,Davenport,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,4899
2017,Davenport,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,4361
2017,Davenport,Mens,Accessories,HURLEY HONOR ROLL BELT,432,11.99,6.75,5.24,0.437030859,2067
2017,Davenport,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,4.98,2.71,2.27,0.455823293,5198
2017,Davenport,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,4.98,2.71,2.27,0.455823293,2654
2017,Davenport,Mens,Accessories,ONE AND ONLY LOW AST SOCK SM,AST,9.99,3.49,6.5,0.650650651,5338
2017,Fort Myers,Mens,Accessories,HURLEY LANYARD,00A,9.99,1.99,8,0.800800801,2385
2017,Fort Myers,Mens,Accessories,HURLEY LANYARD,BLU,9.99,1.99,8,0.800800801,4115
2017,Fort Myers,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,4.98,2.71,2.27,0.455823293,3126
