Year,Warehouse,Division,Category Description,Style Description,Color,$ Unit Price - Outlet MSRP,$ Unit Cost - Standard,margin $,margin %,quantity
2016,Austin,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3848
2016,Austin,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4878
2016,Bakersfield,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,1776
2016,Bakersfield,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4636
2016,Chicago,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4295
2016,Chicago,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,1887
2016,Corona,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4921
2016,Corona,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4849
2016,Davenport,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4080
2016,Davenport,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,2201
2016,Deltona,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4044
2016,Deltona,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3801
2016,Flagstaff,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3387
2016,Flagstaff,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4292
2016,Fort Myers,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4032
2016,Fort Myers,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4822
2016,Fortworth,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3457
2016,Fortworth,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,1987
2016,Fullerton,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2714
2016,Fullerton,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4920
2016,Houston,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3213
2016,Houston,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4627
2016,Jacksonville,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3207
2016,Jacksonville,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,2501
2016,Juno Beach,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2526
2016,Juno Beach,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,2504
2016,Las Vegas,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2900
2016,Las Vegas,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3663
2016,Laughlin,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4027
2016,Laughlin,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4815
2016,Los Angeles,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,1999
2016,Los Angeles,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3024
2016,Miami,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2034
2016,Miami,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3013
2016,Orlando,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4494
2016,Orlando,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3585
2016,Oxnard,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3368
2016,Oxnard,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,1771
2016,Palm Springs,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2114
2016,Palm Springs,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3881
2016,San Antonio,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,3418
2016,San Antonio,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3725
2016,San Francisco,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4530
2016,San Francisco,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,1755
2016,San Jose,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2929
2016,San Jose,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,2738
2016,Sarasota,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4738
2016,Sarasota,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,3434
2016,Tampa,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,4266
2016,Tampa,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,4912
2016,Tustin,Mens,Accessories,O&O SOCK IN,NOR,7.99,2.96,5.03,0.629536921,3075
2016,Tustin,Mens,Accessories,O&O SOCK IN,NYL,7.99,2.96,5.03,0.629536921,3257
2016,Tustin,Mens,Accessories,SUPER INVISIBLE BK SM,BLK,7.99,2.71,5.28,0.660826033,2711
2016,Tustin,Mens,Accessories,SUPER INVISIBLE BK SM,WHT,7.99,2.71,5.28,0.660826033,2513
2016,San Francisco,Mens,Accessories,HURLEY HONOR ROLL PRINTED TRI,61,9.99,4.5,5.49,0.54954955,4883
2016,Tustin,Mens,Accessories,NO SHOW SOCK BK SM,WHT,9.99,4.19,5.8,0.580580581,3899
2016,Tustin,Mens,Accessories,O&O TRIFOLD WALL IN,NOR,9.99,2.44,7.55,0.755755756,3650
2016,Tustin,Mens,Accessories,O&O TRIFOLD WALL IN,NYL,9.99,2.44,7.55,0.755755756,1794
2016,Austin,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2039
2016,Chicago,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,3906
2016,Corona,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,3675
2016,Davenport,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,4002
2016,Deltona,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,4344
2016,Fort Myers,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,4553
2016,Fullerton,Mens,Accessories,O&O MESH SACK IN,6DL,11.99,3.34,8.65,0.721434529,4843
2016,Houston,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,4419
2016,Jacksonville,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,4315
2016,Juno Beach,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2868
2016,Laughlin,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,3646
2016,Miami,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,4676
2016,Orlando,Mens,Accessories,O&O MESH SACK IN,BLK,11.99,3.34,8.65,0.721434529,4766
2016,Orlando,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2290
2016,Palm Springs,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2828
2016,San Antonio,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2761
2016,San Francisco,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,3393
2016,San Jose,Mens,Accessories,O&O MESH SACK IN,6DL,11.99,3.34,8.65,0.721434529,3164
2016,Tampa,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2268
2016,Tustin,Mens,Accessories,O&O MESH SACK IN,CYA,11.99,3.39,8.6,0.717264387,4360
2016,Tustin,Mens,Accessories,HURLEY HONOR ROLL CINCH SACK,63,11.99,5.63,6.36,0.530442035,2968
2016,Tustin,Mens,Accessories,HURLEY HONOR ROLL BELT,10,11.99,6.75,5.24,0.437030859,1927
2016,Tustin,Mens,Accessories,HURLEY HONOR ROLL BELT,432,11.99,6.75,5.24,0.437030859,3116
2016,Tustin,Mens,Accessories,FOUNDATION WEB BELT SM,BLK,11.99,3.22,8.77,0.731442869,4466
2016,Tustin,Mens,Accessories,O AND O SOCK IN,BADG,11.99,4.13,7.86,0.655546289,3519
2016,Tustin,Mens,Accessories,O AND O SOCK IN,BLK,11.99,4.13,7.86,0.655546289,3667
2016,Tustin,Mens,Accessories,O AND O SOCK IN,BLNG,11.99,4.13,7.86,0.655546289,4379
2016,Tustin,Mens,Accessories,O AND O SOCK IN,COMN,11.99,4.13,7.86,0.655546289,2909
2016,Fortworth,Mens,Accessories,HURLEY PROTECT WALLET,29,14.99,15,-0.01,-0.000667111,3533
2016,Jacksonville,Mens,Accessories,HURLEY HONOR ROLL PRINTED CINC,238,14.99,5.63,9.36,0.624416278,3217
2016,Juno Beach,Mens,Accessories,HURLEY HONOR ROLL PRINTED CINC,238,14.99,5.63,9.36,0.624416278,2277
2016,Laughlin,Mens,Accessories,HURLEY PROTECT WALLET,29,14.99,15,-0.01,-0.000667111,2835
2016,Orlando,Mens,Accessories,HURLEY PROTECT WALLET,29,14.99,15,-0.01,-0.000667111,4969
2016,Palm Springs,Mens,Accessories,HURLEY PROTECT WALLET,29,14.99,15,-0.01,-0.000667111,3655
2016,San Antonio,Mens,Accessories,HURLEY PROTECT WALLET,29,14.99,15,-0.01,-0.000667111,1965
2016,Tampa,Mens,Accessories,HURLEY PROTECT WALLET,29,14.99,15,-0.01,-0.000667111,2682
2016,Tustin,Mens,Accessories,HURLEY HONOR ROLL PRINTED CINC,238,14.99,5.63,9.36,0.624416278,2180
2016,San Francisco,Mens,Accessories,O&O TRIFOLD WALL IN,BLK,15,2.36,12.64,0.842666667,4344
2016,Tustin,Mens,Accessories,ICON Accessories IN,00A,19.99,14.14,5.85,0.292646323,2995
2016,Austin,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3433
2016,Bakersfield,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,2668
2016,Chicago,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,2989
2016,Davenport,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,2866
2016,Deltona,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3732
2016,Flagstaff,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,2116
2016,Fort Myers,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,4930
2016,Fortworth,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,1821
2016,Fullerton,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,1905
2016,Houston,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3204
2016,Jacksonville,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3691
2016,Juno Beach,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,2132
2016,Las Vegas,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,4323
2016,Laughlin,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3374
2016,Los Angeles,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,1949
2016,Miami,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3678
2016,Orlando,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3188
2016,Oxnard,Mens,Accessories,HURLEY MATER BACKPACK,368,24.99,18.75,6.24,0.24969988,3234
